uid	settingid	tid	l	ratio
2014080118	3	19	6440.0	0.761627906977
2014011335	3	17	6471.0	0.760465116279
2016211454	4	1	6478.0	0.759302325581
2015210462	3	10	6479.0	0.758139534884
2016011257	1	12	6495.0	0.756976744186
2015012244	4	18	6514.0	0.755813953488
2014011525	3	6	6522.45667	0.754651162791
2014080121	2	20	6553.3341	0.753488372093
2016011386	1	18	6557.0	0.752325581395
2016011336	3	18	6575.0	0.751162790698
2013012048	4	11	6595.0	0.75
2014080102	3	9	6614.31384	0.748837209302
2015210462	3	17	6621.0	0.747674418605
2016050024	3	8	6625.0	0.746511627907
2016011286	2	18	6645.0	0.745348837209
2015010889	3	17	6672.0	0.744186046512
2016011258	4	18	6677.0	0.743023255814
2013012692	1	17	6680.0	0.741860465116
2016011257	1	17	6680.0	0.740697674419
2015311241	2	7	6700.0	0.739534883721
2016310173	2	12	6729.0632	0.738372093023
2016211123	3	8	6737.0	0.737209302326
2014011335	3	12	6740.0	0.736046511628
2014080121	2	3	6749.1405	0.73488372093
2013012645	2	7	6785.59717	0.733720930233
2016210747	2	7	6812.0	0.732558139535
2014210115	2	20	6832.0	0.731395348837
2014080121	2	15	6851.1991	0.73023255814
2014080102	3	18	6858.0	0.729069767442
2014080121	2	14	6883.0	0.727906976744
2014011335	3	11	6898.0	0.726744186047
2016011396	4	6	6932.0	0.725581395349
2013010932	1	19	6945.0	0.724418604651
2015012244	4	8	6953.0	0.723255813953
2013011361	1	18	6970.0	0.722093023256
2016211454	4	6	6973.0	0.720930232558
2015010889	3	19	6983.50037	0.71976744186
2016011317	1	16	7020.0	0.718604651163
2016050024	3	11	7020.69165	0.717441860465
2016011396	4	7	7024.0663	0.716279069767
2016011392	3	17	7046.0	0.71511627907
2013011361	1	3	7070.5261	0.713953488372
2016211454	4	14	7094.0	0.712790697674
2016011317	1	18	7109.0	0.711627906977
2014310617	2	9	7109.0	0.710465116279
2013012645	2	13	7109.0	0.709302325581
2014011525	3	12	7117.0	0.708139534884
2014210115	2	13	7122.0	0.706976744186
2014010012	1	17	7186.8875	0.705813953488
2015311241	2	12	7215.50743	0.704651162791
2014011335	3	20	7263.0	0.703488372093
2014012023	1	2	7274.0	0.702325581395
2016211313	1	12	7281.0	0.701162790698
2014012023	1	9	7344.3419	0.7
2013011361	1	11	7377.35595	0.698837209302
2013012645	2	5	7410.0	0.697674418605
2016211313	1	9	7410.12335	0.696511627907
2016011286	2	12	7418.0	0.695348837209
2015010887	4	4	7442.0	0.694186046512
2014310617	2	1	7504.5878	0.693023255814
2013012048	4	18	7532.0	0.691860465116
