dumb	AP	AP@0003	AP@0005	ERP	ERR	Hit@0003	Hit@0005	MSnDCG@0003	MSnDCG@0005	NCUgu,BR	NCUgu,P	NCUrb,BR	NCUrb,P	Nor-lwfv-exp-binom	Nor-lwfv-exp-step	Nor-lwfv-raw-binom	Nor-lwfv-raw-step	Nor-lwofv-exp-binom	Nor-lwofv-exp-step	Nor-lwofv-raw-binom	Nor-lwofv-raw-step	Nor-nDCG-exp-binom	Nor-nDCG-exp-step	Nor-nDCG-raw-binom	Nor-nDCG-raw-step	Nor-tbg-exp-binom	Nor-tbg-exp-step	Nor-tbg-raw-binom	Nor-tbg-raw-step	O-measure	P-measure	P-plus	P@0003	P@0005	Q-measure	Q@0003	Q@0005	RBP	RR	nDCG@0003	nDCG@0005	nERR@0003	nERR@0005	npbg_hcs_modi	npbg_tbg_modi	pbg_hcs_modi	pbg_tbg_modi
NCUgu,P											1.0	0.789335699813	0.711369904638	0.697240472528	0.689788464943	0.793777140759	0.793777140759	0.651658507171	0.651658507171	0.762449904076	0.754997896491	0.793117403151	0.791740058497	0.884149923287	0.882772578633	0.547109767631	0.554561775216	0.593858895404	0.601310902989	0.460553231342	0.486602396106	0.468666381125	0.701450087331	0.714273666169	0.801162997687	0.649678865992	0.801162997687	0.894643722582	0.60019777358	0.686252795064	0.870734333209	0.563521028543	0.651422641326	0.527066566602	0.600870417069	0.606637386317	0.621541401487
NCUrb,BR												1.0	0.757176902495	0.645219188499	0.631885855166	0.723094065517	0.729760732183	0.67642739885	0.67642739885	0.77039703295	0.763730366283	0.759571364165	0.764495449415	0.789378190617	0.787635609201	0.61642739885	0.623094065517	0.689760732183	0.717063699617	0.625102974607	0.628829427524	0.630622741688	0.757918368024	0.696831516529	0.991590751917	0.855879073762	0.991590751917	0.805070047654	0.692773700403	0.813097925922	0.855228647705	0.780230140105	0.826666666667	0.408829328168	0.471374531235	0.563476607083	0.564112907849
NCUrb,P													1.0	0.443756232926	0.443756232926	0.629656875695	0.629656875695	0.44940942083	0.44940942083	0.652769490296	0.652769490296	0.516908007973	0.516908007973	0.654365783584	0.654365783584	0.387442539907	0.387442539907	0.480932301513	0.52543975574	0.240864473309	0.203985818359	0.220652485025	0.904393564874	0.93588700751	0.752996497711	0.673746041717	0.752996497711	0.563673523146	0.729950588591	0.617153560149	0.597784847036	0.501726022619	0.49302828686	0.69439838466	0.721446412191	0.568246984858	0.553544636339
Nor-lwfv-exp-binom														1.0	0.986666666667	0.853333333333	0.86	0.893333333333	0.893333333333	0.826666666667	0.82	0.811590751917	0.82	0.711590751917	0.706666666667	0.746666666667	0.753333333333	0.766666666667	0.74	0.537478409295	0.56566737636	0.548942172006	0.417931720973	0.47051543541	0.648234371449	0.598174377976	0.648234371449	0.758533937168	0.483260580052	0.627496486614	0.742994223175	0.593799087687	0.631885855166	0.350318150383	0.383651483717	0.504287784483	0.51095445115
Nor-lwfv-exp-step															1.0	0.853333333333	0.86	0.88	0.88	0.813333333333	0.806666666667	0.798257418584	0.806666666667	0.698257418584	0.693333333333	0.733333333333	0.74	0.753333333333	0.726666666667	0.524009708701	0.554327146069	0.538799161681	0.417931720973	0.47051543541	0.634901038116	0.583919649302	0.634901038116	0.751867270501	0.483260580052	0.613241757941	0.729660889841	0.579544359013	0.618552521832	0.33698481705	0.370318150383	0.49095445115	0.497621117817
Nor-lwfv-raw-binom																1.0	0.993333333333	0.76	0.76	0.893333333333	0.886666666667	0.771590751917	0.766666666667	0.818257418584	0.813333333333	0.64	0.646666666667	0.7	0.7	0.436037658342	0.469752332879	0.453027128525	0.650476169852	0.646084650991	0.72738185	0.644923505749	0.72738185	0.797045114952	0.588017140227	0.687851056565	0.794202433526	0.568625285596	0.603094065517	0.41698481705	0.463651483717	0.57095445115	0.564287784483
Nor-lwfv-raw-step																	1.0	0.766666666667	0.766666666667	0.9	0.893333333333	0.76492408525	0.773333333333	0.811590751917	0.806666666667	0.646666666667	0.653333333333	0.706666666667	0.706666666667	0.449506358936	0.482846902901	0.466121698547	0.650476169852	0.646084650991	0.734048516667	0.652375513334	0.734048516667	0.803711781619	0.588017140227	0.69530306415	0.800869100192	0.576077293181	0.609760732183	0.410318150383	0.45698481705	0.564287784483	0.557621117817
Nor-lwofv-exp-binom																		1.0	1.0	0.84	0.833333333333	0.82492408525	0.846666666667	0.68492408525	0.693333333333	0.853333333333	0.86	0.873333333333	0.846666666667	0.673239943613	0.691754637552	0.675029433197	0.417931720973	0.437192875307	0.666109248467	0.643624932756	0.666109248467	0.729105846752	0.588017140227	0.615707493351	0.712929831992	0.669057672807	0.703094065517	0.33698481705	0.383651483717	0.504287784483	0.51095445115
Nor-lwofv-exp-step																			1.0	0.84	0.833333333333	0.82492408525	0.846666666667	0.68492408525	0.693333333333	0.853333333333	0.86	0.873333333333	0.846666666667	0.673239943613	0.691754637552	0.675029433197	0.417931720973	0.437192875307	0.666109248467	0.643624932756	0.666109248467	0.729105846752	0.588017140227	0.615707493351	0.712929831992	0.669057672807	0.703094065517	0.33698481705	0.383651483717	0.504287784483	0.51095445115
Nor-lwofv-raw-binom																				1.0	0.993333333333	0.771590751917	0.793333333333	0.818257418584	0.826666666667	0.733333333333	0.726666666667	0.793333333333	0.806666666667	0.578779973706	0.602626464531	0.585901260177	0.668733588436	0.630221517584	0.7613514841	0.714249289627	0.7613514841	0.789742147519	0.640395420315	0.699937292399	0.800232799426	0.652855084643	0.677063699617	0.403651483717	0.47698481705	0.584287784483	0.59095445115
