id	user_id	setting_id	task_id	result_id	score	results_number
201	2012310575	3	6	4	2	13
202	2012310575	3	6	6	1	13
203	2012310575	3	6	9	1	13
204	2012310575	3	6	11	1	13
205	2012310575	3	11	10	1	11
206	2012310575	3	11	4	2	11
207	2012310575	3	11	2	2	11
208	2012310575	3	11	8	2	11
209	2012310575	3	11	0	2	11
210	2012310575	3	11	7	1	11
211	2012310575	3	11	3	3	11
212	2012310575	3	11	9	1	11
213	2012310575	3	11	5	2	11
214	2012310575	3	11	1	2	11
215	2012310575	3	11	6	2	11
216	2012310575	3	10	6	1	13
217	2012310575	3	10	11	1	13
218	2012310575	3	10	9	1	13
219	2012310575	3	10	10	1	13
220	2012310575	3	10	8	1	13
221	2012310575	3	10	3	3	13
222	2012310575	3	10	1	2	13
223	2012310575	3	10	7	3	13
224	2012310575	3	10	12	2	13
225	2012310575	3	10	2	1	13
226	2012310575	3	10	4	2	13
227	2012310575	3	10	0	2	13
228	2012310575	3	10	5	1	13
229	2012310575	3	14	4	2	11
230	2012310575	3	14	0	2	11
231	2012310575	3	14	3	2	11
232	2012310575	3	14	5	1	11
233	2012310575	3	14	10	1	11
234	2012310575	3	14	6	3	11
235	2012310575	3	14	9	1	11
236	2012310575	3	14	7	2	11
237	2012310575	3	14	8	1	11
238	2012310575	3	14	2	1	11
239	2012310575	3	14	1	2	11
240	2012310575	4	9	5	1	11
241	2012310575	4	9	6	1	11
242	2012310575	4	9	1	1	11
243	2012310575	4	9	0	1	11
244	2012310575	4	9	2	1	11
245	2012310575	4	9	3	1	11
246	2012310575	4	9	4	3	11
247	2012310575	4	9	7	1	11
248	2012310575	4	9	9	1	11
249	2012310575	4	9	10	2	11
250	2012310575	4	9	8	1	11
251	2012310575	4	19	0	2	11
252	2012310575	4	19	1	1	11
253	2012310575	4	19	7	1	11
254	2012310575	4	19	3	3	11
255	2012310575	4	19	9	1	11
256	2012310575	4	19	6	3	11
257	2012310575	4	19	4	3	11
258	2012310575	4	19	5	1	11
259	2012310575	4	19	2	3	11
260	2012310575	4	19	8	1	11
261	2012310575	4	19	10	1	11
262	2012310575	4	7	6	2	11
263	2012310575	4	7	4	1	11
264	2012310575	4	7	9	2	11
265	2012310575	4	7	10	2	11
266	2012310575	4	7	0	2	11
267	2012310575	4	7	3	2	11
268	2012310575	4	7	1	2	11
269	2012310575	4	7	2	2	11
270	2012310575	4	7	8	2	11
271	2012310575	4	7	7	1	11
272	2012310575	4	7	5	3	11
273	2012310575	4	13	4	2	11
274	2012310575	4	13	10	2	11
275	2012310575	4	13	6	1	11
276	2012310575	4	13	1	2	11
277	2012310575	4	13	8	1	11
278	2012310575	4	13	7	1	11
279	2012310575	4	13	3	1	11
280	2012310575	4	13	0	2	11
281	2012310575	4	13	5	1	11
282	2012310575	4	13	2	3	11
283	2012310575	4	13	9	1	11
284	2012310575	4	14	5	1	10
285	2012310575	4	14	1	1	10
286	2012310575	4	14	0	2	10
287	2012310575	4	14	7	1	10
288	2012310575	4	14	3	2	10
289	2012310575	4	14	4	1	10
290	2012310575	4	14	6	1	10
291	2012310575	4	14	2	3	10
292	2012310575	4	14	8	1	10
293	2012310575	4	14	9	1	10
294	2012310575	4	20	1	3	12
295	2012310575	4	20	9	1	12
296	2012310575	4	20	10	1	12
297	2012310575	4	20	2	1	12
298	2012310575	4	20	3	1	12
299	2012310575	4	20	6	1	12
300	2012310575	4	20	8	1	12
301	2012310575	4	20	0	1	12
302	2012310575	4	20	11	1	12
303	2012310575	4	20	5	1	12
304	2012310575	4	20	7	1	12
305	2012310575	4	20	4	3	12
306	2012310575	4	11	3	2	11
307	2012310575	4	11	2	3	11
308	2012310575	4	11	8	1	11
309	2012310575	4	11	10	3	11
310	2012310575	4	11	6	3	11
311	2012310575	4	11	0	1	11
312	2012310575	4	11	5	1	11
313	2012310575	4	11	9	1	11
314	2012310575	4	11	7	1	11
315	2012310575	4	11	1	1	11
316	2012310575	4	11	4	1	11
317	2012310575	4	18	5	3	11
318	2012310575	4	18	7	3	11
319	2012310575	4	18	8	3	11
320	2012310575	4	18	3	1	11
321	2012310575	4	18	0	3	11
322	2012310575	4	18	6	3	11
323	2012310575	4	18	1	3	11
324	2012310575	4	18	10	1	11
325	2012310575	4	18	9	3	11
326	2012310575	4	18	2	1	11
327	2012310575	4	18	4	1	11
328	2012310575	4	1	8	2	14
329	2012310575	4	1	10	1	14
330	2012310575	4	1	13	1	14
331	2012310575	4	1	4	2	14
332	2012310575	4	1	0	2	14
333	2012310575	4	1	5	2	14
334	2012310575	4	1	3	3	14
335	2012310575	4	1	11	1	14
336	2012310575	4	1	12	1	14
337	2012310575	4	1	9	1	14
338	2012310575	4	1	2	2	14
339	2012310575	4	1	7	3	14
340	2012310575	4	1	1	1	14
341	2012310575	4	1	6	1	14
342	2012310575	4	10	2	2	10
343	2012310575	4	10	7	1	10
344	2012310575	4	10	8	1	10
345	2012310575	4	10	3	2	10
346	2012310575	4	10	4	2	10
347	2012310575	4	10	6	1	10
348	2012310575	4	10	9	2	10
349	2012310575	4	10	1	2	10
350	2012310575	4	10	0	3	10
351	2012310575	4	10	5	2	10
352	2012310575	4	5	4	1	13
353	2012310575	4	5	1	1	13
354	2012310575	4	5	11	1	13
355	2012310575	4	5	9	1	13
356	2012310575	4	5	5	1	13
357	2012310575	4	5	8	1	13
358	2012310575	4	5	2	1	13
359	2012310575	4	5	3	3	13
360	2012310575	4	5	10	1	13
361	2012310575	4	5	7	3	13
